today,time_stamp,game_length,game_result
2022-03-07T13:11:02Z,9 hours ago,13m 35s,Defeat
2022-03-07T13:11:02Z,10 hours ago,20m 21s,Defeat
2022-03-07T13:11:02Z,10 hours ago,15m 27s,Defeat
2022-03-07T13:11:02Z,16 hours ago,28m 42s,Defeat
2022-03-07T13:11:02Z,17 hours ago,16m 3s,Defeat
2022-03-07T13:11:02Z,a day ago,22m 2s,Defeat
2022-03-07T13:11:02Z,2 days ago,8m 30s,Defeat
2022-03-07T13:11:02Z,2 days ago,8m 57s,Defeat
2022-03-07T13:11:02Z,2 days ago,25m 48s,Defeat
2022-03-07T13:11:02Z,2 days ago,21m 38s,Defeat
2022-03-07T13:11:02Z,2 days ago,23m 20s,Victory
2022-03-07T13:11:02Z,2 days ago,33m 23s,Victory
2022-03-07T13:11:02Z,2 days ago,45m 23s,Victory
2022-03-07T13:11:02Z,2 days ago,34m 12s,Defeat
2022-03-07T13:11:02Z,2 days ago,37m 43s,Victory
